"p","K","rho_across","Method","Metric","Median","Q25","Q75"
50,2,0.1,"Sample Cov. Inverse","mse",0.0447107897897327,0.0367184578386933,0.0517549192547438
50,2,0.1,"Sample Cov. Inverse","log_score",-1.08020105145952,-3.58007882332011,-0.393535545463414
50,2,0.1,"Inverse-Wishart","mse",0.0451282640162923,0.0395790040884423,0.0506333916706519
50,2,0.1,"Inverse-Wishart","log_score",-1.08301009499193,-3.00177209275155,-0.450226275095569
50,2,0.1,"Bayesian GL","mse",0.0137802675290172,0.0124373254006041,0.0152114786473665
50,2,0.1,"Bayesian GL","log_score",-0.650374061581627,-1.61108960226211,-0.460674689110998
50,2,0.1,"Adaptive Bayesian GL","mse",0.012649789151261,0.0118120597060959,0.0131438882352302
50,2,0.1,"Adaptive Bayesian GL","log_score",-0.625865111509984,-1.19615117579849,-0.451633997841444
50,2,0.1,"Bayesian FGL","mse",0.0143342402522034,0.0136486635797238,0.0157967495601854
50,2,0.1,"Bayesian FGL","log_score",-0.66709140372061,-1.54823571093618,-0.444303784982463
5,2,0.3,"Sample Cov. Inverse","mse",0.0127113577815592,0.00652100088627955,0.0307162593857005
5,2,0.3,"Sample Cov. Inverse","log_score",-0.994144560981217,-1.74868639871931,-0.855180367486223
5,2,0.3,"Inverse-Wishart","mse",0.0275515207992587,0.0231353023681015,0.0436894584268363
5,2,0.3,"Inverse-Wishart","log_score",-0.970162779914641,-1.77857520720245,-0.842935232245207
5,2,0.3,"Bayesian GL","mse",0.0229070573366726,0.0170372960470495,0.0333247017618923
5,2,0.3,"Bayesian GL","log_score",-0.971896117212646,-1.77661804163491,-0.81710844477899
5,2,0.3,"Adaptive Bayesian GL","mse",0.0209653120463043,0.0143012616177824,0.029931912549014
5,2,0.3,"Adaptive Bayesian GL","log_score",-0.941275843491197,-1.80897834293582,-0.765814032755894
5,2,0.3,"Bayesian FGL","mse",0.0258769044465123,0.020469320809547,0.0355036027817746
5,2,0.3,"Bayesian FGL","log_score",-0.959324901072516,-1.78511392557194,-0.833888040291843
10,2,0.3,"Sample Cov. Inverse","mse",0.0190059815278105,0.0116558094847948,0.0298029173924
10,2,0.3,"Sample Cov. Inverse","log_score",-0.90152482873225,-1.34995202030368,-0.636482405511355
10,2,0.3,"Inverse-Wishart","mse",0.0364862042482092,0.0285600571869129,0.0462255705298358
10,2,0.3,"Inverse-Wishart","log_score",-0.894650629292736,-1.39843697233486,-0.622505793022093
10,2,0.3,"Bayesian GL","mse",0.0287501727636443,0.0233949057527267,0.0339005261977611
10,2,0.3,"Bayesian GL","log_score",-0.883814192365143,-1.37628070956062,-0.6260074640113
10,2,0.3,"Adaptive Bayesian GL","mse",0.0296250668960565,0.0192070163584186,0.0344113096193311
10,2,0.3,"Adaptive Bayesian GL","log_score",-0.848284366637711,-1.47261464801309,-0.606703901760133
10,2,0.3,"Bayesian FGL","mse",0.0316080890725063,0.0262770737232108,0.0396856914542915
10,2,0.3,"Bayesian FGL","log_score",-0.896769247604768,-1.40254900365749,-0.6144606857132
20,2,0.3,"Sample Cov. Inverse","mse",0.0298031096581252,0.0259954077862188,0.0342122081001588
20,2,0.3,"Sample Cov. Inverse","log_score",-1.18451966824137,-1.84765055136304,-0.714827663550224
20,2,0.3,"Inverse-Wishart","mse",0.044074033752404,0.0401301120407301,0.0496715623158121
20,2,0.3,"Inverse-Wishart","log_score",-1.1544151261758,-1.87411611564199,-0.721611282405014
20,2,0.3,"Bayesian GL","mse",0.0287919893445383,0.0273525830567231,0.0331228184139946
20,2,0.3,"Bayesian GL","log_score",-1.15686660458347,-1.74626660769016,-0.66830889635297
20,2,0.3,"Adaptive Bayesian GL","mse",0.024787531200112,0.0232132693364758,0.0277584681565424
20,2,0.3,"Adaptive Bayesian GL","log_score",-1.23191382786405,-1.83530365998139,-0.622473736778143
20,2,0.3,"Bayesian FGL","mse",0.0293518733654605,0.0275817833297958,0.0325189712479541
20,2,0.3,"Bayesian FGL","log_score",-1.08900895930962,-1.79027359591489,-0.638973330875262
30,2,0.3,"Sample Cov. Inverse","mse",0.0360502648212391,0.0309761166245984,0.0456685045450705
30,2,0.3,"Sample Cov. Inverse","log_score",-0.798372356566165,-1.88799997140588,-0.579824052134278
30,2,0.3,"Inverse-Wishart","mse",0.0491966571704873,0.0407794890796339,0.0602111408325798
