"p","bias_tau","Method","Metric","Median","Q25","Q75"
10,0.5,"Adaptive Bayesian GL","log_score",-0.522064479239537,-0.994981644060761,-0.369582001663364
10,0.5,"Bayesian FGL","mse",0.0172315991201743,0.0145588521028368,0.0193487208419024
10,0.5,"Bayesian FGL","log_score",-0.545885364672782,-1.09269312272816,-0.387504535986224
20,0.5,"Sample Cov. Inverse","mse",0.0193057031514933,0.0158376918889131,0.0228607368693748
20,0.5,"Sample Cov. Inverse","log_score",-1.06823401839307,-1.94698370909604,-0.341093036991772
20,0.5,"Inverse-Wishart","mse",0.0267355145247865,0.0225479185740986,0.0303982004906134
20,0.5,"Inverse-Wishart","log_score",-0.909260128560707,-1.99373086545481,-0.449680107404622
20,0.5,"Bayesian GL","mse",0.019054893845459,0.0163050113550976,0.0222380144828768
20,0.5,"Bayesian GL","log_score",-0.894179209001073,-1.55771689859543,-0.465649307347122
20,0.5,"Adaptive Bayesian GL","mse",0.0130391646902528,0.0112484536223525,0.0147840200107868
20,0.5,"Adaptive Bayesian GL","log_score",-0.857671857567945,-1.84637022297096,-0.490043072287153
20,0.5,"Bayesian FGL","mse",0.016102819214911,0.01474305108279,0.0200915399646966
20,0.5,"Bayesian FGL","log_score",-0.860846392062107,-1.67225037511283,-0.396667499999373
30,0.5,"Sample Cov. Inverse","mse",0.0222810073620879,0.0175360920277014,0.0320860002180756
30,0.5,"Sample Cov. Inverse","log_score",-0.753474995135354,-1.4473423346135,-0.358466594301504
30,0.5,"Inverse-Wishart","mse",0.0288072359914637,0.0248896643540969,0.037637509202928
30,0.5,"Inverse-Wishart","log_score",-0.873248868151898,-1.42916492384328,-0.423538226377763
30,0.5,"Bayesian GL","mse",0.0156869150322639,0.0142273117127376,0.0187793436934145
30,0.5,"Bayesian GL","log_score",-0.841665353614101,-1.22282481703329,-0.387776126410216
30,0.5,"Adaptive Bayesian GL","mse",0.0132613182966986,0.0116858750204273,0.0146074270764393
30,0.5,"Adaptive Bayesian GL","log_score",-0.725679101396554,-1.31581428167631,-0.37878353410574
30,0.5,"Bayesian FGL","mse",0.0145993231129368,0.0137661011547359,0.0176634111808859
30,0.5,"Bayesian FGL","log_score",-0.762336405044192,-1.23434960326622,-0.438892447038059
50,0.5,"Sample Cov. Inverse","mse",0.031636249935675,0.025892951508742,0.0349842229891215
50,0.5,"Sample Cov. Inverse","log_score",-2.3186979779848,-4.91629621133079,-0.544494163103803
50,0.5,"Inverse-Wishart","mse",0.0307817727971295,0.0273512873203164,0.0359546477902641
50,0.5,"Inverse-Wishart","log_score",-0.827594371929282,-2.50061067585329,-0.300059579396087
50,0.5,"Bayesian GL","mse",0.0101851263484681,0.00934579576409327,0.0127045631028373
50,0.5,"Bayesian GL","log_score",-0.496797227908317,-1.39677973820483,-0.193095937131434
50,0.5,"Adaptive Bayesian GL","mse",0.008437410051909,0.00817222566045027,0.00981916361652571
50,0.5,"Adaptive Bayesian GL","log_score",-0.362495770523708,-0.838378817928159,-0.233150666861088
50,0.5,"Bayesian FGL","mse",0.0104066664109019,0.00943911302963495,0.0115175432138042
50,0.5,"Bayesian FGL","log_score",-0.457826051342812,-1.13452145939583,-0.235057419742483
